SEXO,ESTADO,ADH,PD,CSAT,AHT,email_identifier,PERFORMANCE_GROUP,Extroversion,Agreeableness,Conscientiousness,EmotionalStability,OpennessToExperience
M,ACTIVO,0.874508,10.64801,4.181538,0.0,276,0.0,34.0,43.0,35.0,39.0,37.0
M,INACTIVO,0.433935,557.394722,4.3,0.0,277,1.0,,,,,
F,ACTIVO,0.910926,9.947589,4.156637,0.0,278,0.0,,,,,
M,ACTIVO,0.96595,14.067087,4.377029,0.0,279,0.0,33.0,44.0,43.0,39.0,38.0
F,INACTIVO,0.545404,12.619401,4.09,0.0,280,0.0,,,,,
F,INACTIVO,0.816252,12.146392,4.10989,0.0,281,0.0,,,,,
F,ACTIVO,0.919446,10.857582,4.364537,0.0,282,0.0,36.0,47.0,42.0,40.0,42.0
F,ACTIVO,0.988649,13.201277,4.367769,0.0,283,0.0,,,,,
M,INACTIVO,0.756656,2.318786,3.583333,703.639175,284,1.0,,,,,
M,ACTIVO,0.528065,1.48955,3.777778,898.277778,285,0.0,,,,,
M,ACTIVO,0.93672,2.36049,4.360996,384.259398,286,0.0,33.0,48.0,44.0,40.0,43.0
M,INACTIVO,0.785181,2.563544,4.215686,637.223301,287,1.0,,,,,
M,ACTIVO,0.999361,11.707945,4.177715,0.0,288,1.0,,,,,
F,ACTIVO,0.958099,12.03424,4.367465,0.0,289,1.0,,,,,
F,INACTIVO,0.653796,8.874864,4.444444,0.0,290,1.0,,,,,
F,ACTIVO,0.244649,14.821492,4.185185,0.0,291,0.0,,,,,
M,INACTIVO,0.982153,1.578947,4.833333,509.526316,292,1.0,,,,,
F,INACTIVO,0.918698,2.364024,3.325397,516.05946,293,1.0,,,,,
M,INACTIVO,0.740211,11.900013,4.273874,0.0,294,0.0,,,,,
F,INACTIVO,0.643056,1.587302,4.142857,860.162162,295,1.0,,,,,
F,ACTIVO,0.892949,2.195209,3.847059,1129.244444,296,1.0,,,,,
M,ACTIVO,0.987158,1.815927,4.296703,733.148649,297,1.0,,,,,
M,INACTIVO,0.692209,0.0,2.306452,0.0,298,1.0,,,,,
F,ACTIVO,0.904683,13.90636,4.17024,0.0,299,0.0,,,,,
M,ACTIVO,0.996736,10.548789,4.21259,0.0,300,0.0,,,,,
F,ACTIVO,0.94053,12.851631,4.510476,0.0,301,0.0,,,,,
M,ACTIVO,0.799024,9.793379,4.013216,0.0,302,1.0,,,,,
F,INACTIVO,1.0,13.663777,3.8,0.0,303,0.0,,,,,
M,INACTIVO,0.115769,6.456761,4.7,0.0,304,0.0,,,,,
F,ACTIVO,0.988042,8.21794,4.456712,0.0,305,0.0,,,,,
M,ACTIVO,0.980427,11.787457,4.289661,0.0,306,0.0,,,,,
F,ACTIVO,0.922747,12.063306,4.235207,0.0,307,0.0,24.0,34.0,34.0,31.0,33.0
M,ACTIVO,0.926019,14.635505,4.408794,0.0,308,0.0,,,,,
F,INACTIVO,0.209554,12.669602,3.925,0.0,309,0.0,,,,,
F,ACTIVO,0.665106,1.908135,4.173913,633.309091,310,0.0,,,,,
F,ACTIVO,0.89311,2.450036,4.195946,597.594684,311,1.0,3.0,17.0,9.0,12.0,11.0
M,INACTIVO,0.676294,5.55616,4.5,0.0,312,0.0,,,,,
F,ACTIVO,0.999969,16.364258,4.379052,0.0,313,0.0,30.0,50.0,50.0,21.0,44.0
F,INACTIVO,0.875121,31.543352,4.465753,0.0,314,0.0,,,,,
F,ACTIVO,0.940569,8.857828,4.183333,0.0,315,0.0,36.0,50.0,43.0,35.0,40.0
F,ACTIVO,0.951763,13.00268,4.287605,0.0,316,0.0,,,,,
F,INACTIVO,0.647696,11.017033,4.274286,0.0,317,1.0,,,,,
F,ACTIVO,0.946765,11.922184,4.166667,0.0,318,0.0,,,,,
M,INACTIVO,0.683278,2.232292,2.857143,670.964286,319,1.0,,,,,
F,ACTIVO,0.999718,6.599517,4.198718,0.0,320,0.0,,,,,
F,ACTIVO,0.966635,1.660306,4.283951,856.255605,321,1.0,,,,,
F,INACTIVO,0.0,0.0,0.0,0.0,322,0.0,,,,,
M,ACTIVO,0.898031,2.333149,4.409091,477.653226,323,0.0,,,,,
M,ACTIVO,0.972003,11.719729,4.404255,0.0,324,0.0,,,,,
M,INACTIVO,0.072009,20.894958,4.114286,0.0,325,1.0,,,,,
F,INACTIVO,0.591104,22.035254,4.213457,0.0,326,1.0,,,,,
F,ACTIVO,0.887377,7.127384,4.123457,655.015152,327,0.0,,,,,
M,INACTIVO,0.607792,15.176057,4.114035,0.0,328,0.0,,,,,
M,INACTIVO,0.777274,7.821246,4.028986,0.0,329,0.0,,,,,
F,INACTIVO,0.939282,3.518287,4.601852,0.0,330,0.0,,,,,
M,INACTIVO,0.699694,9.803514,4.4,0.0,331,1.0,,,,,
M,INACTIVO,0.999198,0.0,4.545455,0.0,332,1.0,,,,,
